week,most_viewed_film,weekly_views
"Apr. 17, 2022 - Apr. 23, 2022",Thor: Love and Thunder,33.739
"Apr. 10, 2022 - Apr. 16, 2022",Paws of Fury,8.503
"Apr. 3, 2022 - Apr. 9, 2022",Minions: The Rise of Gru,7.142
"Mar. 27, 2022 - Apr. 2, 2022",Top Gun: Maverick,16.518
"Mar. 20, 2022 - Mar. 26, 2022",Ambulance,5.608
"Mar. 13, 2022 - Mar. 19, 2022",Sonic the Hedgehog 2,16.823
"Mar. 6, 2022 - Mar. 12, 2022",The Unbearable Weight of Massive Talent,9.247
"Feb. 27, 2022 - Mar. 5, 2022",Fantastic Beasts: The Secrets of Dumbledore,13.633
"Feb. 20, 2022 - Feb. 26, 2022",Elvis,7.847
"Feb. 13, 2022 - Feb. 19, 2022",Doctor Strange in the Multiverse of Madness,42.915
"Feb. 6, 2022 - Feb. 12, 2022",Uncharted,2.004
"Jan. 30, 2022 - Feb. 5, 2022",Uncharted,2.004
"Jan. 23, 2022 - Jan. 29, 2022",Uncharted,2.508
"Jan. 16, 2022 - Jan. 22, 2022",Death on the Nile,3.409
"Jan. 9, 2022 - Jan. 15, 2022",Moonfall,7.909
"Jan. 2, 2022 - Jan. 8, 2022",Moonfall,6.634
"Dec. 26, 2021 - Jan. 1, 2022",The Batman,21.671
"Dec. 19, 2021 - Dec. 25, 2021",Doctor Strange in the Multiverse of Madness,20.477
"Dec. 12, 2021 - Dec. 18, 2021",Fantastic Beasts: The Secrets of Dumbledore,12.347
"Dec. 5, 2021 - Dec. 11, 2021",The Matrix Resurrections,11.578
"Nov. 28, 2021 - Dec. 4, 2021",Spider-Man: No Way Home,7.15
"Nov. 21, 2021 - Nov. 27, 2021",DC League of Super-Pets,16.44
"Nov. 14, 2021 - Nov. 20, 2021",Spider-Man: No Way Home,66.214
"Nov. 7, 2021 - Nov. 13, 2021",Sing 2,3.786
"Oct. 31, 2021 - Nov. 6, 2021",Morbius,10.187
"Oct. 24, 2021 - Oct. 30, 2021",Ambulance,12.679
"Oct. 17, 2021 - Oct. 23, 2021",The Batman,27.081
"Oct. 10, 2021 - Oct. 16, 2021",Encanto,11.513
"Oct. 3, 2021 - Oct. 9, 2021",Resident Evil: Welcome to Raccoon City,5.633
"Sep. 26, 2021 - Oct. 2, 2021",Licorice Pizza,5.637
"Sep. 19, 2021 - Sep. 25, 2021",Halloween Kills,7.196
"Sep. 12, 2021 - Sep. 18, 2021",The Matrix Resurrections,9.854
"Sep. 5, 2021 - Sep. 11, 2021",The Matrix Resurrections,25.328
"Aug. 29, 2021 - Sep. 4, 2021",Spider-Man: No Way Home,9.81
"Aug. 22, 2021 - Aug. 28, 2021",Spider-Man: No Way Home,77.254
"Aug. 15, 2021 - Aug. 21, 2021",Eternals,15.775
"Aug. 8, 2021 - Aug. 14, 2021",Cry Macho,4.608
"Aug. 1, 2021 - Aug. 7, 2021",Venom: Let There Be Carnage,26.571
"Jul. 25, 2021 - Jul. 31, 2021",House of Gucci,8.699
"Jul. 18, 2021 - Jul. 24, 2021",Dune,8.884
"Jul. 11, 2021 - Jul. 17, 2021",Candyman,4.409
"Jul. 4, 2021 - Jul. 10, 2021",Don't Breathe 2,11.108
"Jun. 27, 2021 - Jul. 3, 2021",Don't Breathe 2,8.17
"Jun. 6, 2021 - Jun. 12, 2021",Space Jam: A New Legacy,5.974
"May 30, 2021 - Jun. 5, 2021",PAW Patrol: The Movie,12.411
"May 23, 2021 - May 29, 2021",Eternals,18.975
"May 16, 2021 - May 22, 2021",Snake Eyes: G.I. Joe Origins,12.51
"May 9, 2021 - May 15, 2021",Venom: Let There Be Carnage,24.089
"May 2, 2021 - May 8, 2021",A Quiet Place Part II,8.915
"Apr. 25, 2021 - May 1, 2021",The Conjuring 3,8.431
"Apr. 18, 2021 - Apr. 24, 2021",Shang-Chi,14.96
"Apr. 11, 2021 - Apr. 17, 2021",F9,14.435
"Apr. 4, 2021 - Apr. 10, 2021",Space Jam: A New Legacy,17.278
"Mar. 28, 2021 - Apr. 3, 2021",Wrath of Man,8.935
"Mar. 21, 2021 - Mar. 27, 2021",Godzilla vs. Kong,5.282
"Mar. 14, 2021 - Mar. 20, 2021",In the Heights,9.828
"Mar. 7, 2021 - Mar. 13, 2021",The Unholy,2.508
"Feb. 28, 2021 - Mar. 6, 2021",Voyagers,4.484
"Feb. 21, 2021 - Feb. 27, 2021",Luca,4.295
"Feb. 14, 2021 - Feb. 20, 2021",Cruella,9.493
